sector,previous_month,latest_month,net_change,latest_value
Government,2026-07-01,2026-08-01,35000,23323000
Construction,2026-07-01,2026-08-01,22000,8359000
Mining and logging,2026-07-01,2026-08-01,3000,609000
Professional and business services,2026-07-01,2026-08-01,10000,22527000
Leisure and hospitality,2026-07-01,2026-08-01,62000,17001000
Other services,2026-07-01,2026-08-01,3000,6035000
Financial activities,2026-07-01,2026-08-01,-11000,9086000
Private education and health services,2026-07-01,2026-08-01,29000,27974000
Information,2026-07-01,2026-08-01,-23000,2745000
Retail trade,2026-07-01,2026-08-01,1400,15488200
Wholesale trade,2026-07-01,2026-08-01,7800,6072100
Utilities,2026-07-01,2026-08-01,2500,611700
Transportation and warehousing,2026-07-01,2026-08-01,5000,6606300
